,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
64044,I182002409,617,Larceny,LARCENY THEFT FROM BUILDING,D4,172,,2017-12-27 14:15:00,2017,12,Wednesday,14,Part One,ALBANY ST,42.33428841,-71.07239518,"(42.33428841, -71.07239518)",2017-12-27
64063,I182002388,617,Larceny,LARCENY THEFT FROM BUILDING,E5,910,,2018-01-09 00:00:00,2018,1,Tuesday,0,Part One,WASHINGTON ST,42.27800645,-71.13733723,"(42.27800645, -71.13733723)",2018-01-09
64091,I182002357,611,Larceny,LARCENY PICK-POCKET,E13,572,,2018-01-10 08:00:00,2018,1,Wednesday,8,Part One,SCHOOL ST,42.31284459,-71.09676806,"(42.31284459, -71.09676806)",2018-01-10
64094,I182002354,613,Larceny,LARCENY SHOPLIFTING,A7,26,,2018-01-10 08:19:00,2018,1,Wednesday,8,Part One,BORDER ST,42.37620267,-71.03979926,"(42.37620267, -71.03979926)",2018-01-10
64130,I182002311,617,Larceny,LARCENY THEFT FROM BUILDING,B3,439,,2018-01-09 17:00:00,2018,1,Tuesday,17,Part One,STRATTON ST,42.28933096,-71.08351742,"(42.28933096, -71.08351742)",2018-01-09
64131,I182002310,617,Larceny,LARCENY THEFT FROM BUILDING,A1,79,,2018-01-09 23:10:00,2018,1,Tuesday,23,Part One,PRINCE ST,42.36608625,-71.05696428,"(42.36608625, -71.05696428)",2018-01-09
64136,I182002306,617,Larceny,LARCENY THEFT FROM BUILDING,B2,181,,2018-01-09 22:15:00,2018,1,Tuesday,22,Part One,LANGDON ST,42.32420322,-71.07279044,"(42.32420322, -71.07279044)",2018-01-09
64158,I182002282,619,Larceny,LARCENY ALL OTHERS,D14,794,,2018-01-09 20:30:00,2018,1,Tuesday,20,Part One,GLENVILLE AVE,42.34900457,-71.13649962,"(42.34900457, -71.13649962)",2018-01-09
64160,I182002280,613,Larceny,LARCENY SHOPLIFTING,C11,460,,2018-01-09 21:15:00,2018,1,Tuesday,21,Part One,WASHINGTON ST,42.30511791,-71.08019088,"(42.30511791, -71.08019088)",2018-01-09
64164,I182002275,617,Larceny,LARCENY THEFT FROM BUILDING,E18,501,,2018-01-09 20:49:00,2018,1,Tuesday,20,Part One,CANTERBURY ST,42.27850409,-71.11860697,"(42.27850409, -71.11860697)",2018-01-09
64179,I182002261,613,Larceny,LARCENY SHOPLIFTING,A1,102,,2018-01-09 18:45:00,2018,1,Tuesday,18,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",2018-01-09
64183,I182002256,613,Larceny,LARCENY SHOPLIFTING,A1,112,,2018-01-09 18:15:00,2018,1,Tuesday,18,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)",2018-01-09
64193,I182002244,617,Larceny,LARCENY THEFT FROM BUILDING,A1,66,,2018-01-03 10:00:00,2018,1,Wednesday,10,Part One,CHAMPNEY PL,42.35974321,-71.06799009,"(42.35974321, -71.06799009)",2018-01-03
64197,I182002240,613,Larceny,LARCENY SHOPLIFTING,A1,112,,2018-01-09 18:15:00,2018,1,Tuesday,18,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)",2018-01-09
64223,I182002211,613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-01-09 16:29:00,2018,1,Tuesday,16,Part One,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)",2018-01-09
64235,I182002195,617,Larceny,LARCENY THEFT FROM BUILDING,A1,125,,2018-01-09 15:15:00,2018,1,Tuesday,15,Part One,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)",2018-01-09
64237,I182002193,613,Larceny,LARCENY SHOPLIFTING,D4,129,,2018-01-09 16:06:00,2018,1,Tuesday,16,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-01-09
64269,I182002157,617,Larceny,LARCENY THEFT FROM BUILDING,E18,493,,2018-01-09 14:25:00,2018,1,Tuesday,14,Part One,RIVER ST,42.26194848,-71.10971613,"(42.26194848, -71.10971613)",2018-01-09
64282,I182002143,613,Larceny,LARCENY SHOPLIFTING,E18,520,,2018-01-09 14:30:00,2018,1,Tuesday,14,Part One,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)",2018-01-09
64292,I182002130,613,Larceny,LARCENY SHOPLIFTING,E13,304,,2018-01-09 13:43:00,2018,1,Tuesday,13,Part One,COLUMBUS AVE,42.31771534,-71.09823049,"(42.31771534, -71.09823049)",2018-01-09
64293,I182002129,617,Larceny,LARCENY THEFT FROM BUILDING,D14,797,,2018-01-08 15:30:00,2018,1,Monday,15,Part One,COMMONWEALTH AVE,42.35170571,-71.11989956,"(42.35170571, -71.11989956)",2018-01-08
64318,I182002104,617,Larceny,LARCENY THEFT FROM BUILDING,E13,304,,2018-01-07 03:00:00,2018,1,Sunday,3,Part One,COLUMBUS AVE,42.31893878,-71.09826197,"(42.31893878, -71.09826197)",2018-01-07
64319,I182002103,619,Larceny,LARCENY ALL OTHERS,A1,93,,2017-12-24 00:00:00,2017,12,Sunday,0,Part One,FANEUIL HALL MARKETPLACE,42.35997967,-71.05474135,"(42.35997967, -71.05474135)",2017-12-24
64333,I182002092,613,Larceny,LARCENY SHOPLIFTING,A1,112,,2018-01-09 12:00:00,2018,1,Tuesday,12,Part One,WASHINGTON ST,42.35512339,-71.0608798,"(42.35512339, -71.06087980)",2018-01-09
64346,I182002079,613,Larceny,LARCENY SHOPLIFTING,A1,104,,2018-01-09 09:58:00,2018,1,Tuesday,9,Part One,WASHINGTON ST,42.35648631,-71.05928145,"(42.35648631, -71.05928145)",2018-01-09
64379,I182002043,617,Larceny,LARCENY THEFT FROM BUILDING,D4,138,,2018-01-09 09:11:00,2018,1,Tuesday,9,Part One,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)",2018-01-09
64398,I182002024,617,Larceny,LARCENY THEFT FROM BUILDING,B2,309,,2018-01-01 10:00:00,2018,1,Monday,10,Part One,WARREN ST,42.31993295,-71.08157395,"(42.31993295, -71.08157395)",2018-01-01
64438,I182001983,616,Larceny,LARCENY THEFT OF BICYCLE,D4,627,,2018-01-08 22:52:00,2018,1,Monday,22,Part One,PETERBOROUGH ST,42.34280177,-71.1006951,"(42.34280177, -71.10069510)",2018-01-08
